timestamp,car_state,power_kw,session_energy_kwh,lifetime_energy_kwh
2026-08-28T20:41:31+00:00,2,8.29,0.0,4910.318,0,4910318
2026-08-28T20:42:26+00:00,2,8.306,0.0,4910.446,0,4910446
2026-08-28T21:22:25+00:00,2,8.316,0.0,4913.549,0,4913549
2026-08-28T21:30:40+00:00,2,8.312,0.0,4914.689,0,4914689
2026-08-28T21:45:32+00:00,2,8.332,0.0,4916.735,0,4916735
2026-08-28T22:00:42+00:00,2,8.345,0.0,4918.831,0,4918831
2026-08-28T22:15:29+00:00,2,8.354,0.0,4920.867,0,4920867
2026-08-28T22:30:41+00:00,2,8.369,0.0,4922.974,0,4922974
2026-08-28T22:45:28+00:00,2,8.324,0.0,4925.026,0,4925026
2026-08-28T23:00:44+00:00,2,8.346,0.0,4927.136,0,4927136
2026-08-28T23:15:30+00:00,2,8.315,0.0,4929.184,0,4929184
2026-08-28T23:30:38+00:00,2,8.351,0.0,4931.269,0,4931269
2026-08-28T23:45:29+00:00,2,8.362,0.0,4933.324,0,4933324
2026-08-29T00:00:46+00:00,2,8.37,0.0,4935.452,0,4935452
2026-08-29T00:15:34+00:00,2,8.227,0.0,4937.499,0,4937499
2026-08-29T00:30:44+00:00,2,8.278,0.0,4939.572,0,4939572
2026-08-29T00:45:34+00:00,2,8.185,0.0,4941.6,0,4941600
2026-08-29T01:00:39+00:00,2,8.229,0.0,4943.656,0,4943656
2026-08-29T01:15:28+00:00,2,8.253,0.0,4945.677,0,4945677
2026-08-29T01:30:37+00:00,2,8.224,0.0,4947.749,0,4947749
